name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name
Coimbatore Valparai Police Station,"Valparai, Coimbatore",+91 4253 222201,valparai.ps@tnpolice.gov.in,10.326870,76.955432,http://www.tnpolice.gov.in/valparai,India,Tamil Nadu,Coimbatore,3,168,642127,Police Station,Police
New Delhi Police Station 1,"20 New Delhi Main Road, Tamil Nadu",+91 86396 19802,contact1@police.tamilnadu.gov.in,11.81567,83.723128,http://www.new delhipolice.gov.in,India,Tamil Nadu,New Delhi,3,464,153593,Police stations,Police stations
Mumbai Police Station 2,"85 Mumbai Main Road, Karnataka",+91 73849 72333,contact2@police.karnataka.gov.in,11.587869,77.536118,http://www.mumbaipolice.gov.in,India,Karnataka,Mumbai,2,363,615313,Police stations,Police stations
Mumbai Police Station 3,"3 Mumbai Main Road, Delhi",+91 92683 49191,contact3@police.delhi.gov.in,18.509017,76.51381,http://www.mumbaipolice.gov.in,India,Delhi,Mumbai,3,106,164161,Police stations,Police stations
Mumbai Police Station 4,"53 Mumbai Main Road, Delhi",+91 85131 78678,contact4@police.delhi.gov.in,8.580198,87.516436,http://www.mumbaipolice.gov.in,India,Delhi,Mumbai,5,455,401533,Police stations,Police stations
Bangalore Police Station 5,"66 Bangalore Main Road, Kerala",+91 93149 33648,contact5@police.kerala.gov.in,24.168849,78.270403,http://www.bangalorepolice.gov.in,India,Kerala,Bangalore,1,289,357023,Police stations,Emergency services
Bangalore Police Station 6,"48 Bangalore Main Road, Tamil Nadu",+91 74028 57987,contact6@police.tamilnadu.gov.in,13.11842,84.21094,http://www.bangalorepolice.gov.in,India,Tamil Nadu,Bangalore,3,262,466083,Police stations,Emergency services
Mumbai Police Station 7,"91 Mumbai Main Road, Tamil Nadu",+91 95836 38059,contact7@police.tamilnadu.gov.in,9.3144,78.738757,http://www.mumbaipolice.gov.in,India,Tamil Nadu,Mumbai,1,47,156608,Police stations,Police stations
Bangalore Police Station 8,"53 Bangalore Main Road, Tamil Nadu",+91 78618 41304,contact8@police.tamilnadu.gov.in,11.424524,79.61482,http://www.bangalorepolice.gov.in,India,Tamil Nadu,Bangalore,2,371,285595,Police stations,Police stations
Mumbai Police Station 9,"68 Mumbai Main Road, Karnataka",+91 82570 87948,contact9@police.karnataka.gov.in,16.580164,84.470654,http://www.mumbaipolice.gov.in,India,Karnataka,Mumbai,4,459,346613,Police stations,Emergency services
New Delhi Police Station 10,"43 New Delhi Main Road, Kerala",+91 81108 90518,contact10@police.kerala.gov.in,26.304737,82.013836,http://www.new delhipolice.gov.in,India,Kerala,New Delhi,5,481,408232,Police stations,Police departments
New Delhi Police Station 11,"58 New Delhi Main Road, Karnataka",+91 76167 87073,contact11@police.karnataka.gov.in,24.943092,87.388678,http://www.new delhipolice.gov.in,India,Karnataka,New Delhi,2,441,520741,Police stations,Police stations
Chennai Police Station 12,"84 Chennai Main Road, Tamil Nadu",+91 86621 43429,contact12@police.tamilnadu.gov.in,26.375622,85.977664,http://www.chennaipolice.gov.in,India,Tamil Nadu,Chennai,2,486,320511,Police stations,Police stations
Chennai Police Station 13,"11 Chennai Main Road, Delhi",+91 99802 91104,contact13@police.delhi.gov.in,18.826711,83.397368,http://www.chennaipolice.gov.in,India,Delhi,Chennai,4,116,169774,Police stations,Police departments
Mumbai Police Station 14,"78 Mumbai Main Road, Kerala",+91 79256 18736,contact14@police.kerala.gov.in,29.381348,74.670292,http://www.mumbaipolice.gov.in,India,Kerala,Mumbai,1,102,209564,Police stations,Police stations
New Delhi Police Station 15,"41 New Delhi Main Road, Maharashtra",+91 88963 79660,contact15@police.maharashtra.gov.in,12.227753,73.777429,http://www.new delhipolice.gov.in,India,Maharashtra,New Delhi,5,490,691031,Police stations,Emergency services
Kochi Police Station 16,"43 Kochi Main Road, Tamil Nadu",+91 80121 29385,contact16@police.tamilnadu.gov.in,11.289275,84.474911,http://www.kochipolice.gov.in,India,Tamil Nadu,Kochi,5,292,697139,Police stations,Police departments
Kochi Police Station 17,"98 Kochi Main Road, Tamil Nadu",+91 80840 83538,contact17@police.tamilnadu.gov.in,14.258736,86.950893,http://www.kochipolice.gov.in,India,Tamil Nadu,Kochi,5,74,191474,Police stations,Emergency services
Mumbai Police Station 18,"50 Mumbai Main Road, Tamil Nadu",+91 88795 68725,contact18@police.tamilnadu.gov.in,13.202881,83.436836,http://www.mumbaipolice.gov.in,India,Tamil Nadu,Mumbai,5,288,352681,Police stations,Police departments
Bangalore Police Station 19,"48 Bangalore Main Road, Delhi",+91 96950 84891,contact19@police.delhi.gov.in,9.245126,81.514017,http://www.bangalorepolice.gov.in,India,Delhi,Bangalore,2,159,668179,Police stations,Emergency services
Mumbai Police Station 20,"99 Mumbai Main Road, Delhi",+91 80534 37383,contact20@police.delhi.gov.in,18.933223,76.322468,http://www.mumbaipolice.gov.in,India,Delhi,Mumbai,1,80,367862,Police stations,Police stations
Bangalore Police Station 21,"88 Bangalore Main Road, Karnataka",+91 88161 17683,contact21@police.karnataka.gov.in,27.369986,72.527027,http://www.bangalorepolice.gov.in,India,Karnataka,Bangalore,5,251,212835,Police stations,Police stations
Mumbai Police Station 22,"9 Mumbai Main Road, Kerala",+91 83712 78762,contact22@police.kerala.gov.in,9.160188,87.596932,http://www.mumbaipolice.gov.in,India,Kerala,Mumbai,3,115,524229,Police stations,Emergency services
Mumbai Police Station 23,"53 Mumbai Main Road, Tamil Nadu",+91 88305 11458,contact23@police.tamilnadu.gov.in,29.332784,87.277124,http://www.mumbaipolice.gov.in,India,Tamil Nadu,Mumbai,5,52,414849,Police stations,Police departments
Chennai Police Station 24,"82 Chennai Main Road, Kerala",+91 70748 66958,contact24@police.kerala.gov.in,26.49073,87.26721,http://www.chennaipolice.gov.in,India,Kerala,Chennai,5,23,465540,Police stations,Emergency services
Chennai Police Station 25,"3 Chennai Main Road, Karnataka",+91 81376 61567,contact25@police.karnataka.gov.in,24.794134,72.887794,http://www.chennaipolice.gov.in,India,Karnataka,Chennai,1,356,364720,Police stations,Police departments
Mumbai Police Station 26,"1 Mumbai Main Road, Karnataka",+91 77633 38149,contact26@police.karnataka.gov.in,15.159662,72.278549,http://www.mumbaipolice.gov.in,India,Karnataka,Mumbai,4,212,138960,Police stations,Emergency services
New Delhi Police Station 27,"35 New Delhi Main Road, Tamil Nadu",+91 72872 55462,contact27@police.tamilnadu.gov.in,23.698799,83.66263,http://www.new delhipolice.gov.in,India,Tamil Nadu,New Delhi,4,335,149806,Police stations,Police departments
Chennai Police Station 28,"35 Chennai Main Road, Maharashtra",+91 72702 77442,contact28@police.maharashtra.gov.in,27.559172,86.657193,http://www.chennaipolice.gov.in,India,Maharashtra,Chennai,3,115,679375,Police stations,Police stations
Chennai Police Station 29,"88 Chennai Main Road, Tamil Nadu",+91 79047 27268,contact29@police.tamilnadu.gov.in,14.417017,85.42831,http://www.chennaipolice.gov.in,India,Tamil Nadu,Chennai,2,218,525128,Police stations,Police stations
Mumbai Police Station 30,"71 Mumbai Main Road, Kerala",+91 70060 51726,contact30@police.kerala.gov.in,28.245006,75.490711,http://www.mumbaipolice.gov.in,India,Kerala,Mumbai,5,58,261168,Police stations,Emergency services
Bangalore Police Station 31,"43 Bangalore Main Road, Maharashtra",+91 73982 66357,contact31@police.maharashtra.gov.in,13.509004,86.701445,http://www.bangalorepolice.gov.in,India,Maharashtra,Bangalore,3,379,404909,Police stations,Emergency services
Kochi Police Station 32,"19 Kochi Main Road, Kerala",+91 75870 67354,contact32@police.kerala.gov.in,27.324836,74.154928,http://www.kochipolice.gov.in,India,Kerala,Kochi,3,475,544572,Police stations,Police departments
New Delhi Police Station 33,"70 New Delhi Main Road, Maharashtra",+91 71288 34968,contact33@police.maharashtra.gov.in,24.524396,80.427776,http://www.new delhipolice.gov.in,India,Maharashtra,New Delhi,3,406,564448,Police stations,Police stations
Mumbai Police Station 34,"79 Mumbai Main Road, Kerala",+91 85232 84327,contact34@police.kerala.gov.in,10.216413,80.848858,http://www.mumbaipolice.gov.in,India,Kerala,Mumbai,5,37,556522,Police stations,Emergency services
Mumbai Police Station 35,"64 Mumbai Main Road, Kerala",+91 88404 49765,contact35@police.kerala.gov.in,10.702271,80.364295,http://www.mumbaipolice.gov.in,India,Kerala,Mumbai,2,127,255498,Police stations,Police stations
Chennai Police Station 36,"27 Chennai Main Road, Kerala",+91 94301 73770,contact36@police.kerala.gov.in,15.27593,79.552735,http://www.chennaipolice.gov.in,India,Kerala,Chennai,4,156,422051,Police stations,Police departments
